"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","opt_status","opt_value"
5900,"DE",TRUE,"beta",8218,0.04417133,17.19148,0.46569535,0.4373245681228,6.09213336922484,3.54061603076482,3.32491697961529,6.09213338058601,3.19230769230769,6.69426521831835,31.6737824478866,0.983320844063087,56,59,3,136,132,2.94117644896194,0,101.993,101.592,500,1501,0,36.8470695970696
3507,"DE",TRUE,"beta",6318,0.1119025,9.388007,0.7628079,0.739940503158699,2.99779234212486,4.12023808334213,3.99672190144047,2.99779234532721,2.07692307692308,5.67818265308173,14.0718281216573,0.991864892405555,20,23,3,208,207,0.48076922845784,0,81.975,81.666,820,2461,0,23.8058608058608
16885,"DE",TRUE,"beta",9649,0.05409887,10.500212,1.1413312,1.12940898934798,1.04458816525597,4.75310555087416,4.70345517276411,1.04458816595144,2.77747252747253,7.76314907215387,14.5847010167654,0.993876988268959,26,24,2,316,348,10.1265822464349,0,135.332,134.783,850,2551,0,35.8186813186813
18145,"DE",TRUE,"beta",9437,0.18925506,12.415713,0.62464803,0.622092187193398,0.409165270642101,3.3128968700146,3.29934164654861,0.409165271173627,3.04395604395604,8.11761075659608,19.6775505610647,0.990395382067444,20,19,1,250,251,0.3999999984,0,80.414,80.101,470,1411,0,35.2014652014652
14159,"DE",TRUE,"beta",7133,0.22557129,12.649062,0.21394365,0.191290855683091,10.5882059182534,1.16018658327898,1.03734363823127,10.5882059586177,2.51373626373626,5.7088229382824,36.2153644387881,0.972729976761389,2,2,0,142,139,2.11267604146003,0,91.1319999999999,90.822,480,1441,0,24.6510989010989
14093,"DE",TRUE,"beta",8786,0.0711359,17.319963,0.40693042,0.39147317414503,3.79849847966265,3.73940561036156,3.5973643447545,3.79849848798136,2.89835164835165,6.12170521384971,23.2808363429376,0.988488242283701,48,50,2,151,146,3.31125825621683,0,88.629,88.2730000000001,420,1261,0,40.3342490842491
13583,"DE",TRUE,"beta",7736,0.20333506,9.284979,0.51025885,0.489289056048694,4.10963845315173,2.88178450104059,2.76335357681676,4.1096384597797,1.92032967032967,5.20961705791413,15.7288136256025,0.994523384849372,21,17,4,220,210,4.54545452479339,0,64.386,64.13,510,1531,0,33.0549450549451
3171,"DE",TRUE,"beta",8910,0.14478114,15.664662,0.61491865,0.620425971312155,0.895617868021814,4.94722144987086,4.99152964921856,0.895617869297274,2.81593406593407,6.81082686884365,23.1305646807228,0.991347299202757,32,33,1,214,206,3.73831773954057,0,76.692,76.394,430,1291,0,37.742673992674
3886,"DE",TRUE,"beta",6530,0.0906585,4.900383,0.5623194,0.544677124182751,3.13741190253704,2.52155082536574,2.4424393895015,3.13741190687221,1.97527472527473,6.20107222206746,9.48982125255383,0.990479217514894,19,18,1,217,210,3.22580643674744,0,36.4200000000001,36.2909999999999,400,1201,0,25.4532967032967
10328,"DE",TRUE,"beta",9572,0.13226075,10.084595,0.24044554,0.240764758383282,0.132761199044906,1.77838073156596,1.78074173115859,0.132761199522406,3.11263736263736,6.41191370517706,30.1557576809517,0.983486053457623,27,2,25,120,128,6.66666661111111,0,85.3150000000001,85.016,390,1171,0,37.775641025641
18296,"DE",TRUE,"beta",8360,0.14700957,8.950577,0.10996746,0.254012895034515,130.989143265311,1.479931141306,3.41848028184767,130.989144367964,12.1181318681319,27.7433785784114,80.4508468681219,0.888794844703209,2,27,25,136,189,38.9705879487457,0,203.692,202.868,1210,3631,1,748.373626373626
4755,"DE",TRUE,"beta",9591,0.06141174,15.424094,0.08747515,0.0874830544845344,0.00903626280609434,1.13409541994778,1.13419789979157,0.00903626290144423,3.52197802197802,4.88606450772259,53.8594900465829,0.840443676339087,3,4,1,43,45,4.6511626825311,0,193.309,192.711,470,1411,0,19.1190476190476
