"sim_idx","method","converged","true_beta","true_R0","pred_beta","pred_R0","n","prevalence","recov","incub","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","total_true","total_pred","dieout_pred","err_beta_pct","err_R0_pct","time_sec","cpu_sec","n_evals","n_model_runs"
4618,"ABC-SMC",TRUE,0.39757252,2.5412402,0.388451637717515,2.4829406030795,8868,0.0180424,0.15644822,18.22676,2.94642857142857,5.03824657707705,29.9251383819102,0.984348310056141,81,90,9,104,87,16.3461536889793,7926,7826.5,0,2.29413726610489,2.29413866422833,NA,NA,NA,NA
4618,"NelderMead",TRUE,0.39757252,2.5412402,0.384806616096282,2.45964202147063,8868,0.0180424,0.15644822,18.22676,2.98351648351648,5.16818777088883,29.8216459536247,0.983688824669896,81,86,5,104,85,18.2692305935651,7926,7801,0,3.21095426670217,3.21095764264211,NA,NA,NA,NA
4618,"DE",TRUE,0.39757252,2.5412402,0.391584123754276,2.50296311299851,8868,0.0180424,0.15644822,18.22676,2.92857142857143,5.07390436394947,28.7538476956615,0.984084119528632,81,90,9,104,87,16.3461536889793,7926,7846,0,1.50623619141537,1.50623588982777,NA,NA,NA,NA
4618,"BiLSTM",TRUE,0.39757252,2.5412402,0.385517209768295,2.46234059333801,8868,0.0180424,0.15644822,18.22676,3.00824175824176,5.13699681367784,30.938660763211,0.983874613494903,81,89,8,104,86,17.3076921412722,7926,7797,0,3.0322216207218,3.10476654722846,NA,NA,NA,NA
7286,"Oracle",TRUE,1.1220453,4.721329,1.1220453,4.721329,9341,0.013381865,0.23765452,19.344357,5.90796703296703,12.2631685219523,23.2786509736615,0.966795421597043,54,56,2,190,169,11.0526315207756,9232,9137.5,0,0,0,NA,NA,NA,NA
7286,"ABC",TRUE,1.1220453,4.721329,8.64391932292585,36.3717859139639,9341,0.013381865,0.23765452,19.344357,5.88461538461539,12.2229180343617,23.7202574911096,0.967020301728275,54,56,2,190,169,11.0526315207756,9232,9133,0,670.371091008085,670.371630747351,NA,NA,NA,NA
7286,"ABC-SMC",TRUE,1.1220453,4.721329,0.748807061305141,3.15082187919313,9341,0.013381865,0.23765452,19.344357,15.7637362637363,29.9952835120296,58.0848631323695,0.780990061729132,54,70,16,190,129,32.1052629889197,9232,8808,0,33.264067507273,33.2640828073206,NA,NA,NA,NA
7286,"NelderMead",TRUE,1.1220453,4.721329,0.799967823287815,3.3660955545378,9341,0.013381865,0.23765452,19.344357,13.4739010989011,26.1814122261166,47.1348719998917,0.838166750493138,54,67,13,190,138,27.3684209085873,9232,8905.5,0,28.7044729537618,28.7044846571242,NA,NA,NA,NA
7286,"DE",TRUE,1.1220453,4.721329,0.799275201801423,3.36318114968494,9341,0.013381865,0.23765452,19.344357,13.489010989011,26.18737952056,47.7211823633999,0.838076149878389,54,67,13,190,137,27.8947366952909,9232,8913,0,28.7662013767682,28.766213128823,NA,NA,NA,NA
7286,"BiLSTM",TRUE,1.1220453,4.721329,1.04551422595978,4.51965475082397,9341,0.013381865,0.23765452,19.344357,5.88461538461539,12.2229180343617,23.7202574911096,0.967020301728275,54,56,2,190,169,11.0526315207756,9232,9133,0,6.82066988146764,4.27155587887365,NA,NA,NA,NA
