"sim_idx","generation","epsilon","next_epsilon","accept_rate","n_sims","ess"
11443,1,NA,98.8862283246914,1,200,200
11443,2,98.8862283246914,94.1067380316131,0.318471337579618,438,197.328658853564
11443,3,94.1067380316131,86.6046535024157,0.3584229390681,465,195.691178026564
11443,4,86.6046535024157,76.91163489848,0.327332242225859,502,197.041481317166
11443,5,76.91163489848,61.3906257283388,0.357142857142857,468,195.73326127878
11443,6,61.3906257283388,40.559869529837,0.364963503649635,447,197.30004522706
12157,1,NA,76.5850627816328,1,200,200
12157,2,76.5850627816328,73.3607835887786,0.280112044817927,513,196.977129798113
12157,3,73.3607835887786,68.7816258451768,0.347826086956522,480,197.844379976186
12157,4,68.7816258451768,62.76049640551,0.378787878787879,451,196.716136002211
12157,5,62.76049640551,54.4661007993984,0.40650406504065,425,192.375717891446
12157,6,54.4661007993984,41.1701774632501,0.427350427350427,394,195.083058455703
13835,1,NA,98.8398987615018,1,200,200
13835,2,98.8398987615018,93.5771844084159,0.380952380952381,367,195.336922149314
13835,3,93.5771844084159,86.1905079066602,0.381679389312977,422,198.074416828696
13835,4,86.1905079066602,72.4788718757599,0.404040404040404,424,193.750585423172
13835,5,72.4788718757599,51.2417138740825,0.355871886120996,466,198.227829269485
13835,6,51.2417138740825,30.7670449588427,0.410677618069815,416,195.943191203015
3434,1,NA,64.7985867748986,1,200,200
3434,2,64.7985867748986,61.8456511029923,0.292825768667643,490,197.066287730162
3434,3,61.8456511029923,57.9707896753511,0.313971742543171,505,196.550840874865
3434,4,57.9707896753511,52.8070232178875,0.36563071297989,442,196.551617808939
3434,5,52.8070232178875,45.8747251715896,0.399201596806387,434,197.186473617665
3434,6,45.8747251715896,35.762793862134,0.428265524625268,415,193.587734193872
18739,1,NA,36.1784707765571,1,200,200
18739,2,36.1784707765571,34.2129229032317,0.341880341880342,401,196.165557376388
18739,3,34.2129229032317,31.5416408228053,0.333889816360601,503,197.338291483953
18739,4,31.5416408228053,27.7717788529346,0.383877159309021,447,196.321639325019
18739,5,27.7717788529346,20.6611994379541,0.402414486921529,410,195.609958597413
18739,6,20.6611994379541,14.5059767508728,0.4,416,196.056388659373
