"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs"
8877,"BiLSTM",TRUE,"beta",8050,0.051552795,7.352058,0.62802464,0.651778757572174,3.78235438888998,4.11317493864864,4.26874979171106,3.78235439399303,1.61401098901099,4.95189773811932,10.57762256458,0.996645383947662,26,25,1,273,275,0.732600729917213,0,NA,NA,NA,500
8891,"ABC",TRUE,"beta",7143,0.25437492,3.4220686,0.50837034,0.603773265766406,18.7664224428872,2.72121457183012,3.2318891949617,18.7664224729057,1.96978021978022,7.96308447058766,10.5292428407071,0.995736922261942,2,8,6,379,380,0.263852242047883,0,NA,NA,NA,500
8891,"ABC-SMC",TRUE,"beta",7143,0.25437492,3.4220686,0.50837034,0.661681427927414,30.1573627654675,2.72121457183012,3.54186112349797,30.1573628137068,2.95879120879121,11.6276952446861,12.7294941908164,0.991964533481121,2,9,7,379,407,7.38786277734073,0,NA,NA,NA,500
8891,"NelderMead",TRUE,"beta",7143,0.25437492,3.4220686,0.50837034,10.0005,1867.16826188725,2.72121457183012,53.5308694948395,1867.16826487395,16.7019230769231,87.5212572295038,27.7916064669942,0.717124386222606,2,4,2,379,1269,234.828495422616,0,NA,NA,NA,500
8891,"DE",TRUE,"beta",7143,0.25437492,3.4220686,0.50837034,0.520018834467437,2.29134029426728,2.72121457183012,2.78356685793059,2.29134029793248,0.987637362637363,4.01037459542178,7.6418026557271,0.998092997107185,2,2,0,379,377,0.527704484095767,0,NA,NA,NA,500
8891,"BiLSTM",TRUE,"beta",7143,0.25437492,3.4220686,0.50837034,0.571345865726471,12.387726160931,2.72121457183012,3.05831118190288,12.3877261807462,1.44917582417582,6.12669577332685,8.13317918784518,0.996970517239148,2,2,0,379,377,0.527704484095767,0,NA,NA,NA,500
8892,"ABC",TRUE,"beta",6910,0.066570185,18.161219,0.60162956,0.722714783386303,20.1262090887025,4.73060586207753,5.6826974906242,20.1262091179009,3.55082417582418,7.74512430819871,26.3419250934844,0.980657812642848,40,35,5,144,147.5,2.4305555386767,0,NA,NA,NA,500
8892,"ABC-SMC",TRUE,"beta",6910,0.066570185,18.161219,0.60162956,0.710399169242788,18.0791663664259,4.73060586207753,5.58585996744399,18.0791663926545,3.32554945054945,7.26306136829095,25.1059797398742,0.982692693744003,40,35,5,144,145,0.694444439621914,0,NA,NA,NA,500
8892,"NelderMead",TRUE,"beta",6910,0.066570185,18.161219,0.60162956,10.0005,1562.23547665737,4.73060586207753,78.6338090231244,1562.2354789238,19.0906593406593,47.7903646778716,66.1491019310672,0.474552665132429,40,11,29,144,299,107.638888141397,0,NA,NA,NA,500
8892,"DE",TRUE,"beta",6910,0.066570185,18.161219,0.60162956,0.597712127358998,0.651136994414071,4.73060586207753,4.69980313719843,0.65113699535872,1.9271978021978,4.21804404960351,17.7398810559568,0.992971775032165,40,41,1,144,130,9.72222215470679,0,NA,NA,NA,500
8892,"BiLSTM",TRUE,"beta",6910,0.066570185,18.161219,0.60162956,0.60418576002121,0.42487939205662,4.73060586207753,4.75070523153833,0.424879392673019,1.91483516483516,4.16025147168922,17.8727264721709,0.993188528507058,40,41,1,144,131,9.02777771508488,0,NA,NA,NA,500
8918,"ABC",TRUE,"beta",5545,0.1543733,9.483217,0.40091562,0.519013268392218,29.4569835162941,4.9115979884427,6.35840660189365,29.4569835837709,3.83104395604396,10.4605157669156,18.3792528061128,0.968160212223176,20,20,0,162,176,8.64197525529645,0,NA,NA,NA,500
8918,"ABC-SMC",TRUE,"beta",5545,0.1543733,9.483217,0.40091562,0.470932224836624,17.4641747961784,4.9115979884427,5.76936804856944,17.4641748361834,2.84478021978022,8.07234629616908,15.0921848057121,0.97972324240347,20,22,2,162,167,3.08641973403445,0,NA,NA,NA,500
8918,"NelderMead",TRUE,"beta",5545,0.1543733,9.483217,0.40091562,10.0005,2394.41515300797,4.9115979884427,122.515644771888,2394.41515849283,14.9230769230769,48.6852980042049,39.6336904284053,0.572534547621887,20,7,13,162,430,165.432097744246,0,NA,NA,NA,500
8918,"DE",TRUE,"beta",5545,0.1543733,9.483217,0.40091562,0.37385227017843,6.7503854686595,4.9115979884427,4.5800461907249,6.75038548412254,1.49313186813187,4.44649201155149,9.84767190105817,0.992452963847919,20,23,3,162,141,12.9629628829447,0,NA,NA,NA,500
8918,"BiLSTM",TRUE,"beta",5545,0.1543733,9.483217,0.40091562,0.373136937618256,6.92881018515972,4.9115979884427,4.57128268591653,6.92881020103148,1.50412087912088,4.46221930197308,9.79864439164199,0.992403024655999,20,24,4,162,141,12.9629628829447,0,NA,NA,NA,500
8952,"ABC",TRUE,"beta",6187,0.20219816,18.643919,1.0609306,3.39783020455018,220.268847212767,4.96219063850733,15.8923507647497,220.268847375996,6.92307692307692,18.8121132357746,26.4592121043734,0.906647060531428,21,13,8,150,214.5,42.9999997133333,0,NA,NA,NA,500
8952,"ABC-SMC",TRUE,"beta",6187,0.20219816,18.643919,1.0609306,1.17423559034343,10.6797739867841,4.96219063850733,5.49214138399279,10.6797739946983,1.86401098901099,4.73653383258821,15.2275245500899,0.992026745366888,21,22,1,150,148,1.33333332444444,0,NA,NA,NA,500
8952,"NelderMead",TRUE,"beta",6187,0.20219816,18.643919,1.0609306,10.0005,842.61584985614,4.96219063850733,46.7743954980586,842.615850480556,9.25274725274725,26.4082227870266,31.4619144494788,0.826555201109827,21,8,13,150,257,71.3333328577778,0,NA,NA,NA,500
8952,"DE",TRUE,"beta",6187,0.20219816,18.643919,1.0609306,1.07566784721691,1.38908682651051,4.96219063850733,5.03111977503815,1.38908682753988,1.76923076923077,4.23778140172322,14.7474387974338,0.993184074766779,21,22,1,150,141,5.99999996,0,NA,NA,NA,500
8952,"BiLSTM",TRUE,"beta",6187,0.20219816,18.643919,1.0609306,1.01712453365326,4.12902279427613,4.96219063850733,4.7573006557548,4.12902279733592,1.81043956043956,4.17886492817273,15.8629452753562,0.993378875222405,21,22,1,150,137,8.66666660888889,0,NA,NA,NA,500
8957,"ABC",TRUE,"beta",6692,0.1017633,13.583358,0.45935738,0.525181581654444,14.3296275137993,4.165521858006,4.76242562556359,14.3296275415542,3.07417582417582,7.48083632275911,16.1573835815132,0.982623817232504,29,31,2,148,152,2.7027026844412,0,NA,NA,NA,500
8957,"ABC-SMC",TRUE,"beta",6692,0.1017633,13.583358,0.45935738,0.571316021639518,24.3728840049961,4.165521858006,5.18077967087073,24.3728840522037,4.23214285714286,10.0119777168249,20.8285296479617,0.970874628019893,29,30,1,148,161,8.78378372443389,0,NA,NA,NA,500
8957,"NelderMead",TRUE,"beta",6692,0.1017633,13.583358,0.45935738,10.0005,2077.06309175426,4.165521858006,90.6860391379562,2077.0630957773,19.1964285714286,52.7265715380191,52.6114802160538,0.488193205243224,29,9,20,148,375,153.378377342038,0,NA,NA,NA,500
8957,"DE",TRUE,"beta",6692,0.1017633,13.583358,0.45935738,0.452667437685285,1.4563698312959,4.165521858006,4.1048564542179,1.45636983411673,1.78571428571429,4.36755646220509,11.4327057309168,0.993013979223893,29,33,4,148,136,8.10810805332359,0,NA,NA,NA,500
8957,"BiLSTM",TRUE,"beta",6692,0.1017633,13.583358,0.45935738,0.456969678401947,0.519791712686763,4.165521858006,4.1438698205508,0.519791713693545,1.84065934065934,4.44131452672232,11.2992033019581,0.992792472138525,29,33,4,148,137,7.43243238221329,0,NA,NA,NA,500
8969,"ABC",TRUE,"beta",9766,0.18287937,13.413405,0.47746503,0.702510553390197,47.1334042869826,4.19021392718498,6.16520440211094,47.1334043744501,6.09340659340659,15.2976871052205,23.2647020740165,0.976623608406708,27,22,5,245,277,13.0612244364848,0,NA,NA,NA,500
8969,"ABC-SMC",TRUE,"beta",9766,0.18287937,13.413405,0.47746503,0.652761477169651,36.713986530597,4.19021392718498,5.72860850723688,36.7139865987288,5.05082417582418,12.5969591219817,20.6780426775336,0.983663725137177,27,23,4,245,265.5,8.36734690462307,0,NA,NA,NA,500
8969,"NelderMead",TRUE,"beta",9766,0.18287937,13.413405,0.47746503,10.0005,1994.49893745203,4.19021392718498,87.7639863568928,1994.49894115331,21.1730769230769,63.6708137805111,44.6481842439021,0.690084629009655,27,7,20,245,555,126.530611728446,0,NA,NA,NA,500
8969,"DE",TRUE,"beta",9766,0.18287937,13.413405,0.47746503,2.45934254366114,415.083280446802,4.19021392718498,21.5830913903107,415.08328121709,17.2623626373626,48.4217180067506,40.4025838420124,0.80234318001426,27,12,15,245,436,77.9591833552686,0,NA,NA,NA,500
8969,"BiLSTM",TRUE,"beta",9766,0.18287937,13.413405,0.47746503,0.483851373195648,1.33755202601385,4.19021392718498,4.24626021857974,1.337552028496,1.80906593406593,4.8100598566105,12.8791728203082,0.996569614678798,27,25,2,245,220,10.2040815910037,0,NA,NA,NA,500
8994,"ABC",TRUE,"beta",5412,0.16444938,10.933589,0.6016934,0.742440108697856,23.3917653848186,3.45358765226416,4.2614427745835,23.391765416922,2.9271978021978,7.69235920312423,20.1625586220757,0.982597543037613,24,21,3,137,158,15.328467041398,0,NA,NA,NA,500
8994,"ABC-SMC",TRUE,"beta",5412,0.16444938,10.933589,0.6016934,0.656043589963497,9.03287120536277,3.45358765226416,3.76554577737596,9.03287121775968,1.88598901098901,5.02268206885875,15.496652682294,0.991208445435986,24,21,3,137,144,5.10948901379935,0,NA,NA,NA,500
8994,"NelderMead",TRUE,"beta",5412,0.16444938,10.933589,0.6016934,10.0005,1562.05911256122,3.45358765226416,57.4006683744042,1562.05911470502,12.5535714285714,40.2431910150888,42.951269489366,0.666861185975555,24,7,17,137,369,169.34306445735,0,NA,NA,NA,500
8994,"DE",TRUE,"beta",5412,0.16444938,10.933589,0.6016934,0.566504440327487,5.84832069190551,3.45358765226416,3.25161077064802,5.84832069993187,1.33241758241758,3.43823044187393,12.3937384223201,0.994619241621204,24,22,2,137,128,6.56934301774202,0,NA,NA,NA,500
8994,"BiLSTM",TRUE,"beta",5412,0.16444938,10.933589,0.6016934,0.554124116897583,7.90590075000956,3.45358765226416,3.18055043970779,7.90590076085979,1.35851648351648,3.46400248077469,12.9103905171246,0.994592166018629,24,23,1,137,126,8.02919702168469,0,NA,NA,NA,500
